"region","indicator","Unit","Date","Value"
"Saitama","Marriages","Number","1975",42340
"Saitama","Marriages","Number","1976",38871
"Saitama","Marriages","Number","1977",36518
"Saitama","Marriages","Number","1978",34730
"Saitama","Marriages","Number","1979",34869
"Saitama","Marriages","Number","1980",34708
"Saitama","Marriages","Number","1981",34580
"Saitama","Marriages","Number","1982",34670
"Saitama","Marriages","Number","1983",34087
"Saitama","Marriages","Number","1984",33026
"Saitama","Marriages","Number","1985",33446
"Saitama","Marriages","Number","1986",33089
"Saitama","Marriages","Number","1987",34197
"Saitama","Marriages","Number","1988",36220
"Saitama","Marriages","Number","1989",38085
"Saitama","Marriages","Number","1990",39234
"Saitama","Marriages","Number","1991",41597
"Saitama","Marriages","Number","1992",43177
"Saitama","Marriages","Number","1993",46036
"Saitama","Marriages","Number","1994",45313
"Saitama","Marriages","Number","1995",46224
"Saitama","Marriages","Number","1996",44934
"Saitama","Marriages","Number","1997",43551
"Saitama","Marriages","Number","1998",44110
"Saitama","Marriages","Number","1999",42858
"Saitama","Marriages","Number","2000",45636
"Saitama","Marriages","Number","2001",45720
"Saitama","Marriages","Number","2002",42946
"Saitama","Marriages","Number","2003",41979
"Saitama","Marriages","Number","2004",41141
"Saitama","Marriages","Number","2005",40486
"Saitama","Marriages","Number","2006",40907
"Saitama","Marriages","Number","2007",40304
"Saitama","Marriages","Number","2008",40604
"Saitama","Marriages","Number","2009",39399
"Saitama","Marriages","Number","2010",39160
"Saitama","Marriages","Number","2011",36227
"Saitama","Marriages","Number","2012",36776
"Saitama","Marriages","Number","2013",36279
"Aichi","Marriages","Number","1975",52212
"Aichi","Marriages","Number","1976",48274
"Aichi","Marriages","Number","1977",45131
"Aichi","Marriages","Number","1978",43987
"Aichi","Marriages","Number","1979",42724
"Aichi","Marriages","Number","1980",42811
"Aichi","Marriages","Number","1981",41941
"Aichi","Marriages","Number","1982",43030
"Aichi","Marriages","Number","1983",41844
"Aichi","Marriages","Number","1984",41129
"Aichi","Marriages","Number","1985",40875
"Aichi","Marriages","Number","1986",40400
"Aichi","Marriages","Number","1987",40183
"Aichi","Marriages","Number","1988",40463
"Aichi","Marriages","Number","1989",41011
"Aichi","Marriages","Number","1990",42060
